DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2016,1820,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2017,1864,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2018,1907,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2019,1933,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2020,2080,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2021,2340,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: Regional | Central tendency measure: Median | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2022,2470,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: Regional | Central tendency measure: Median | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2023,2693,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: Regional | Central tendency measure: Median | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_LCU,2024,2884,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: Regional | Central tendency measure: Median | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,1999,592,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2000,592,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
