DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2002,946.369,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2003,954.278,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2004,994.002,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2005,1034.926,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2006,1043.818,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2007,1088.95,,NB,CR,0,ADM - Labour legislation,Repository: Ministry of Labour  | Geographical coverage: Ontario & Quebec,Central tendency measure: Mean of regional minimum wages | CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2008,1031.842,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2009,1065.339,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2010,1070.125,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),CAN,A,EAR_INEE_NB,CUR_TYPE_PPP,2011,1180.668,,NB,CR,0,ADM - Labour legislation,,CAD: Canadian Dollar,,2,,
